Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/28/2025,12/29/2025,Amazon.com*5K3HJ3XB3,Shopping,Sale,-22.48,
12/28/2025,12/28/2025,AUTOMATIC PAYMENT - THANK,,Payment,463.50,
12/26/2025,12/26/2025,Prime Video *ZC3N65JD3,Shopping,Sale,-14.99,
12/09/2025,12/09/2025,Amazon.com*VU2T956F3,Shopping,Sale,-41.46,
12/04/2025,12/04/2025,AMAZON MKTPL*BI7PB9Z81,Shopping,Sale,-32.87,
12/02/2025,12/03/2025,AMAZON MKTPL*BI8EY4LX2,Shopping,Sale,-8.72,
12/01/2025,12/01/2025,AMAZON MKTPL*BB5WP2TF0,Shopping,Sale,-105.74,
11/29/2025,11/30/2025,AMAZON MKTPL*BB15H8052,Shopping,Sale,-110.36,
11/29/2025,11/30/2025,AMAZON MKTPL*BB7T763P1,Shopping,Sale,-61.83,
11/18/2025,11/18/2025,AMAZON MKTPL*B03TZ8OM0,Shopping,Sale,-38.29,
11/15/2025,11/16/2025,AMAZON MKTPLACE PMTS,Shopping,Return,89.87,
11/13/2025,11/14/2025,AMAZON MKTPL*B828F6M31,Shopping,Sale,-109.74,
11/11/2025,11/11/2025,AMAZON MKTPL*B87AL5CU0,Shopping,Sale,-89.87,
11/10/2025,11/11/2025,AMAZON MKTPL*B846U3CS1,Shopping,Sale,-20.84,
11/06/2025,11/07/2025,Prime Video *NK1541UT2,Shopping,Sale,-3.99,
11/04/2025,11/04/2025,Prime Video *NK2NK37O1,Shopping,Sale,-3.99,
10/28/2025,10/28/2025,AUTOMATIC PAYMENT - THANK,,Payment,51.49,
09/28/2025,09/28/2025,AUTOMATIC PAYMENT - THANK,,Payment,170.44,
09/25/2025,09/26/2025,AMAZON MKTPL*PH4XZ9LO3,Shopping,Sale,-10.96,
09/24/2025,09/25/2025,AMAZON MKTPL*XX9CN5883,Shopping,Sale,-32.87,
09/05/2025,09/07/2025,AMAZON MKTPL*X62J66Z03,Shopping,Sale,-7.66,
09/03/2025,09/03/2025,AMAZON MKTPL*A97MC7PN3,Shopping,Sale,-7.67,
09/02/2025,09/03/2025,AMAZON MKTPLACE PMTS,Shopping,Return,20.84,
09/01/2025,09/02/2025,Amazon.com*HI9942MW3,Shopping,Sale,-86.08,
08/30/2025,08/31/2025,AMAZON MKTPL*N22AO2Y73,Shopping,Sale,-10.96,
08/28/2025,08/28/2025,AUTOMATIC PAYMENT - THANK,,Payment,171.02,
08/21/2025,08/22/2025,AMAZON MKTPL*HB92F0ID3,Shopping,Sale,-26.33,
08/09/2025,08/10/2025,AMAZON MKTPL*NN5N87TZ3,Shopping,Sale,-20.84,
08/07/2025,08/08/2025,AMAZON MKTPL*5J8QR29Y3,Shopping,Sale,-32.91,
08/08/2025,08/08/2025,Amazon.com*XL5HZ7N33,Shopping,Sale,-6.49,
08/05/2025,08/06/2025,Amazon.com,Shopping,Return,148.12,
07/28/2025,07/28/2025,AUTOMATIC PAYMENT - THANK,,Payment,132.71,
07/18/2025,07/20/2025,Amazon.com*235OO9TZ3,Shopping,Sale,-2.07,
07/19/2025,07/20/2025,Amazon.com*D242Q0VQ3,Shopping,Sale,-2.41,
07/15/2025,07/16/2025,AMAZON MKTPL*0C4YP45H3,Shopping,Sale,-26.52,
07/12/2025,07/13/2025,Amazon.com,Shopping,Return,69.11,
07/11/2025,07/13/2025,AMAZON MKTPL*NL8WI0S71,Shopping,Sale,-8.77,
07/10/2025,07/13/2025,Amazon.com*NL4HZ6QM1,Shopping,Sale,-69.11,
07/10/2025,07/11/2025,AMAZON MKTPL*NL6EX16E0,Shopping,Sale,-6.14,
07/09/2025,07/10/2025,Amazon.com*NL2SF5YA2,Shopping,Sale,-17.37,
07/09/2025,07/10/2025,AMAZON MKTPL*NL6IP8GG1,Shopping,Sale,-29.31,
07/09/2025,07/10/2025,Amazon.com*NL2EF0BY0,Shopping,Sale,-148.12,
07/09/2025,07/10/2025,AMAZON MKTPL*NL55V2H50,Shopping,Sale,-9.32,
06/27/2025,06/27/2025,AUTOMATIC PAYMENT - THANK,,Payment,264.63,
06/25/2025,06/26/2025,AMAZON MKTPL*NQ8491OY0,Shopping,Sale,-21.86,
06/25/2025,06/26/2025,Amazon.com*NQ9QO9SE2,Shopping,Sale,-21.84,
06/19/2025,06/20/2025,Amazon.com*NA2Y90RY0,Shopping,Sale,-25.17,
06/17/2025,06/18/2025,Whole Foods RAM 10126,Groceries,Sale,-2.70,
06/07/2025,06/08/2025,AMAZON MKTPL*NH5J28BU2,Shopping,Sale,-18.11,
06/07/2025,06/08/2025,AMAZON MKTPL*N658E3Y91,Shopping,Sale,-87.75,
06/06/2025,06/08/2025,Whole Foods RAM 10126,Groceries,Sale,-11.87,
06/05/2025,06/06/2025,Amazon.com*N68117SD1,Shopping,Sale,-12.52,
06/01/2025,06/02/2025,AMAZON MKTPL*N60H74CR1,Shopping,Sale,-5.48,
06/01/2025,06/02/2025,AMAZON MKTPL*N69WL1OH1,Shopping,Sale,-24.12,
06/01/2025,06/01/2025,Amazon.com*NN3P88YJ1,Shopping,Sale,-38.59,
05/24/2025,05/25/2025,AMAZON MKTPL*NN7DV7VE2,Shopping,Sale,-43.89,
05/11/2025,05/12/2025,AMAZON PRIME*NW3VR0GH2,Bills & Utilities,Sale,-152.55,
04/28/2025,04/28/2025,AUTOMATIC PAYMENT - THANK,,Payment,175.67,
03/17/2025,03/18/2025,AMAZON MKTPL*JR5FQ8S03,Shopping,Sale,-12.71,
03/10/2025,03/11/2025,Amazon.com*I93OH29J3,Shopping,Sale,-162.96,
02/28/2025,02/28/2025,AUTOMATIC PAYMENT - THANK,,Payment,26.78,
01/10/2025,01/12/2025,Prime Video Channels,Shopping,Return,5.99,
01/10/2025,01/12/2025,Prime Video Channels,Shopping,Return,2.99,
01/10/2025,01/12/2025,Prime Video Channels,Shopping,Return,3.73,
01/11/2025,01/12/2025,AMAZON MKTPL*ZD9B42K50,Shopping,Sale,-49.48,
01/10/2025,01/12/2025,Prime Video Channels,Shopping,Return,5.99,
01/10/2025,01/12/2025,Prime Video Channels,Shopping,Return,3.74,
01/10/2025,01/12/2025,Prime Video Channels,Shopping,Return,5.99,
01/10/2025,01/12/2025,Prime Video Channels,Shopping,Return,5.99,
01/10/2025,01/12/2025,Prime Video Channels,Shopping,Return,5.99,
01/10/2025,01/12/2025,Prime Video Channels,Shopping,Return,5.99,
01/10/2025,01/12/2025,Prime Video Channels,Shopping,Return,4.49,
