Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,memo
DEBIT,12/31/2025,"AMERICAN EXPRESS ACH PMT    A1990           WEB ID: 9493560001",-748.67,ACH_DEBIT,40298.01,,"a"
DEBIT,12/30/2025,"Online Payment 27118571878 To Hope Valley Farms North Owners 12/30",-33.00,BILLPAY,41046.68,,
DEBIT,12/30/2025,"PGANDE           WEB ONLINE 56605477121025  WEB ID: 5940742640",-151.43,ACH_DEBIT,41079.68,,
DEBIT,12/29/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-463.50,ACH_DEBIT,41231.11,,
CREDIT,12/23/2025,"INTEREST PAYMENT",0.33,MISC_CREDIT,41694.61,,
DEBIT,12/22/2025,"CMS MEDICARE     PREMIUMS                   PPD ID: 7505008009",-732.50,ACH_DEBIT,41694.28,,
DEBIT,12/22/2025,"CITI AUTOPAY     PAYMENT    271886089230423 WEB ID: CITICARDAP",-1285.89,MISC_DEBIT,42426.78,,
DEBIT,12/16/2025,"NON-CHASE ATM WITHDRAW               268025  12/16123 STREE EG Pound   2000.00 X 0.02110000 (EXCHG RTE)",-42.20,ATM,43712.67,,
CREDIT,12/16/2025,"Spruce Quality R SIGONFILE                  PPD ID: 9001137417",1895.20,ACH_CREDIT,43754.87,,
DEBIT,12/15/2025,"T-MOBILE         PCS SVC    5228251         WEB ID: 0000450304",-216.00,ACH_DEBIT,41859.67,,
DEBIT,12/15/2025,"JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113",-1297.42,ACH_DEBIT,42075.67,,
DEBIT,12/15/2025,"NON-CHASE ATM WITHDRAW               150454  12/14123 STREE EG Pound   4000.00 X 0.02106750 (EXCHG RTE)",-84.27,ATM,43373.09,,
DSLIP,12/11/2025,"REMOTE ONLINE DEPOSIT #          1",119.57,CHECK_DEPOSIT,43457.36,1,
DEBIT,12/09/2025,"ATT              PAYMENT                    PPD ID: 9864031004",-65.33,ACH_DEBIT,43337.79,,
DEBIT,12/08/2025,"CITI AUTOPAY     PAYMENT    291873993200208 WEB ID: CITICARDAP",-2322.29,MISC_DEBIT,43403.12,,
DEBIT,12/05/2025,"Unitedhealthcare Premium    879894344072    WEB ID: 1836282001",-177.01,ACH_DEBIT,45725.41,,
DEBIT,12/01/2025,"AMERICAN EXPRESS ACH PMT    A5112           WEB ID: 9493560001",-6058.91,ACH_DEBIT,45902.42,,
CREDIT,12/01/2025,"BENEFIT PAYMENTS PAYROLL                    PPD ID: 9186063000",357.09,ACH_CREDIT,51961.33,,
DEBIT,11/28/2025,"Online Payment 26764060748 To Hope Valley Farms North Owners 11/28",-33.00,BILLPAY,51604.24,,
CREDIT,11/26/2025,"INTEREST PAYMENT",0.41,MISC_CREDIT,51637.24,,
DEBIT,11/24/2025,"CITI AUTOPAY     PAYMENT    271861893790077 WEB ID: CITICARDAP",-1567.50,MISC_DEBIT,51636.83,,
DEBIT,11/20/2025,"CMS MEDICARE     PREMIUMS                   PPD ID: 7505008009",-670.50,ACH_DEBIT,53204.33,,
CREDIT,11/18/2025,"Spruce Quality R SIGONFILE                  PPD ID: 9001137417",1653.20,ACH_CREDIT,53874.83,,
DEBIT,11/17/2025,"T-MOBILE         PCS SVC    4331519         WEB ID: 0000450304",-222.00,ACH_DEBIT,52221.63,,
DEBIT,11/17/2025,"JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113",-1297.42,ACH_DEBIT,52443.63,,
DSLIP,11/17/2025,"DEPOSIT  ID NUMBER  94014",14920.00,DEPOSIT,53741.05,,
DEBIT,11/10/2025,"Zelle payment to Gina Yuan JPM99bu2lx4o",-150.00,CHASE_TO_PARTNERFI,38821.05,,
DEBIT,11/07/2025,"Dublin San Ramon UTILITY                    PPD ID: 2946050194",-183.79,ACH_DEBIT,38971.05,,
DEBIT,11/07/2025,"Zelle payment to Gina Yuan JPM99bts49kr",-500.00,CHASE_TO_PARTNERFI,39154.84,,
DEBIT,11/06/2025,"ATT              PAYMENT                    PPD ID: 9864031004",-68.00,ACH_DEBIT,39654.84,,
DEBIT,11/06/2025,"CITI AUTOPAY     PAYMENT    291848072090060 WEB ID: CITICARDAP",-3947.05,MISC_DEBIT,39722.84,,
DEBIT,11/05/2025,"UnitedHealthcare Premium    879898001160    WEB ID: 1836282001",-177.01,ACH_DEBIT,43669.89,,
DEBIT,11/04/2025,"Zelle payment to Patty JPM99btf8zyr",-165.00,CHASE_TO_PARTNERFI,43846.90,,
DEBIT,11/03/2025,"APPLECARD GSBANK PAYMENT    2965484         WEB ID: 9999999999",-1542.40,ACH_DEBIT,44011.90,,
CREDIT,11/03/2025,"BENEFIT PAYMENTS DEPOSIT                    PPD ID: 9186063000",357.09,ACH_CREDIT,45554.30,,
