Status,Date,Description,Debit,Credit
Cleared,12/22/2025,"AUTOPAY 999990000073040RAUTOPAY AUTO-PMT",,-1285.89
Cleared,12/31/2025,"99 RANCH #1771 DUBLIN CA null XXXXXXXXXXXX5212",0.19,
Cleared,12/31/2025,"99 RANCH #1771 DUBLIN CA null XXXXXXXXXXXX5212",40.10,
Cleared,12/31/2025,"BLUE SHIELD CALIFORNIA SAN FRANCISCO CA",15.30,
Cleared,12/31/2025,"KAISER PAY INTERNET SAN DIEGO CA",1473.62,
Cleared,12/31/2025,"DAISO - DUBLIN DUBLIN CA",4.96,
Cleared,12/28/2025,"TRADER JOE S #066 PLEASANTON CA null XXXXXXXXXXXX1993",35.28,
Cleared,12/26/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX5212",1.70,
Cleared,12/26/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX1993",72.84,
Cleared,12/25/2025,"Tesla Insurance Servic Fremont CA null XXXXXXXXXXXX3474",144.90,
Cleared,12/22/2025,"AUTOPAY 999990000073040RAUTOPAY AUTO-PMT",,-1285.89
Cleared,12/20/2025,"MEDICAL/RX INS TAMPA FL",17.40,
Cleared,12/13/2025,"4255 SHAKE SHACK JFK JAMAICA NY null XXXXXXXXXXXX5212",32.07,
Cleared,12/11/2025,"CLIPPER AUTORELOAD SAN FRANCISCO CA",60.00,
Cleared,12/11/2025,"CLIPPER AUTORELOAD SAN FRANCISCO CA",60.00,
Cleared,12/08/2025,"TRADER JOE S #066 PLEASANTON CA null XXXXXXXXXXXX1993",14.24,
Cleared,12/06/2025,"TRADER JOE S #081 MOUNTAIN VIEW CA null XXXXXXXXXXXX5212",4.49,
Cleared,12/06/2025,"TRADER JOE S #081 MOUNTAIN VIEW CA null XXXXXXXXXXXX1993",9.54,
Cleared,12/05/2025,"Crate and Barrel Palo Alto CA",,-7.58
Cleared,12/05/2025,"TRADER JOE S #081 MOUNTAIN VIEW CA null XXXXXXXXXXXX1993",12.04,
Cleared,12/05/2025,"CLIPPER SERVICES CONCORD CA",20.00,
Cleared,12/05/2025,"CLIPPER SERVICES CONCORD CA",20.00,
Cleared,12/02/2025,"99 RANCH #1701 FREMONT CA null XXXXXXXXXXXX1993",27.62,
Cleared,12/01/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX1993",8.74,
Cleared,12/01/2025,"99 RANCH MARKET #168 PLEASANTON CA null XXXXXXXXXXXX5212",9.49,
Cleared,12/01/2025,"BROOKS BROTHERS 06710 LIVERMORE CA null XXXXXXXXXXXX5212",130.16,
Cleared,12/01/2025,"KAISER PAY INTERNET SAN DIEGO CA",707.83,
Cleared,11/30/2025,"Crate and Barrel Palo Alto CA null XXXXXXXXXXXX5212",7.58,
Cleared,11/30/2025,"SIGONAS FARMERS MARKET PALO ALTO CA null XXXXXXXXXXXX1993",3.79,
Cleared,11/30/2025,"BLUE SHIELD CALIFORNIA SAN FRANCISCO CA",15.30,
Cleared,11/30/2025,"GOOGLE *Google One MOUNTAIN VIEW CA",19.99,
Cleared,11/27/2025,"SAFEWAY #2948 MOUNTAIN VIEW CA null XXXXXXXXXXXX1993",5.99,
Cleared,11/26/2025,"TRADER JOE S #081 MOUNTAIN VIEW CA null XXXXXXXXXXXX5212",5.99,
Cleared,11/26/2025,"TRADER JOE S #081 MOUNTAIN VIEW CA null XXXXXXXXXXXX1993",32.17,
Cleared,11/26/2025,"AAA INSURANCE WALNUT CREEK CA",,-332.00
